,label,tweets,sentiment
0,0,USER_MENTION waaa o USER_MENTION yang kelas jangan seneng dulu mau jadi kelas nanti pas ujian nasional lo kesel sendiri jadi kelas,-1
1,1,hahecie sp USER_MENTION dapet like dari orang itu sangat sulit. sulitnya melebihi ujian nasional,-1
2,0,hayooo USER_MENTION waaa o USER_MENTION yang kelas jangan seneng dulu mau jadi kelas nanti pas ujian nasional lo kesel sendiri jadi k,-1
3,1,USER_MENTION USER_MENTION itu bio nya kok ada alumni emang udah lulus udah ujian nasional,0
4,2,just did getop ipa ujian nasional geschool,0
5,1,USER_MENTION itu bio nya kok ada alumni emang udah lulus udah ujian nasional,0
6,0,waaa o USER_MENTION yang kelas jangan seneng dulu mau jadi kelas nanti pas ujian nasional lo kesel sendiri jadi kelas okesip,-1
7,2,cumandiinformatika nilai ujian nasional matematika dapet x_x o,0
8,1,USER_MENTION wajar sombong. kan gua artis papan ujian nasional. hahaha. elu dimans,-1
9,0,wkwkwkwk USER_MENTION yang kelas jangan seneng dulu mau jadi kelas nanti pas ujian nasional lo kesel sendiri jadi kelas okesip,-1
10,0,yang kelas jangan seneng dulu mau jadi kelas nanti pas ujian nasional lo kesel sendiri jadi kelas okesip,-1
11,2,yassalam kaya ngadepin soal ujian nasionalo,1
12,1,USER_MENTION terakhir aku melihatmu hari sebelum ujian nasional berlangsung kau tau disaat kau cont LINK,-1
13,1,USER_MENTION btw sulli fx lulusa ujian nasional gak ya dia kan lahir tahun,-1
14,2,btw sulli fx lulusa ujian nasional gak ya dia kan lahir tahun,-1
15,2,pengumuman ujian nasional sd sudah dekat jadi degdegan,0
16,0,terakhir aku melihatmu hari sebelum ujian nasional berlangsung kau tau disaat kau ujian aku tak hentihentinya mendoakanmu passma,-1
17,2,lebih asik tanpa ujian nasional,1
18,1,penari ulaaar hahahah USER_MENTION LINK USER_MENTION weleeeeh USER_MENTION cinta memang buta,0
19,0,USER_MENTION apakah kolaborasi lembaga bimbingan sekolah ini yg ikut mempengaruhi agar ujian nasional dihapuskan nanyserius,-1
20,1,LINK USER_MENTION weleeeeh USER_MENTION cinta memang buta,0
21,1,maaf say agak katrok itua apa artinyaUSER_MENTION tti and ttww USER_MENTION kenapa bel USER_MENTION galau tingkat ujian nasional,1
22,1,tti and ttww USER_MENTION kenapa bel USER_MENTION galau tingkat ujian nasional,1
23,1,kenapa bel USER_MENTION galau tingkat ujian nasional,0
24,0,bisa bisa USER_MENTION cari pacar jangan yg kayak ujian nasional udah capek2 dijagain masih aja bisa dicurangin.,1
25,2,cumadi1 cumadi91 foto ujian nasional disebut kaya pocong dewi napisah,1
26,0,setelah torehkan prestasi hasil ujian nasional smkn jember kembali mencatat prestasi terbaik olympic skill bidang tata kecantikan,1
27,0,USER_MENTION ujian nasional izin ke toilet sebentar ke pengawas. padahal kunci jawaban di selipin di atas pintu wc storysmu,1
28,2,galau tingkat ujian nasional,0
29,2,cumadiempat saya mengerjakan ujian nasional.,0
